npp,id,id_massif,surf_ilot_bdforet_ha
23-43-241-1-182T,77560.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,189.590000000000003
23-43-241-1-186T,83242.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,107.959999999999994
23-43-241-1-188T,74515.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,476.730000000000018
23-43-243-1-190T,82426.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,173.569999999999993
23-43-244-1-191T,74939.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,904.879999999999995
23-43-244-1-193T,80486.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,108.170000000000002
23-43-245-1-192T,80553.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-012224,2.890000000000000
23-43-246-1-191T,77555.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-012221,365.689999999999998
23-48-226-1-199T,52067.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,389.810000000000002
23-63-207-1-176T,41039.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,259.769999999999982
23-63-208-1-177T,42908.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1274.519999999999982
23-63-208-1-185T,45565.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,7.530000000000000
23-63-209-1-186T,45414.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,300.790000000000020
23-63-209-1-188T,44643.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,2.560000000000000
23-63-210-1-175T,40802.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,233.530000000000001
23-63-211-1-184T,43522.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,122.750000000000000
23-63-211-1-186T,45263.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,60.399999999999999
23-63-212-1-177T,42801.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,28.100000000000001
23-63-212-1-179T,39771.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,177.389999999999986
23-63-212-1-185T,43397.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,183.240000000000009
23-63-213-1-178T,42732.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,252.210000000000008
23-63-213-1-180T,42609.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,16.399999999999999
